,Date,Brand,Details,Quantity,Price
0,2020-05-13 21:27:16,GIANT,Jasmine Fragrant Rice 10kg,Size: 10KG,$14.30
1,2020-05-13 21:27:16,NEW MOON,Fragrant Brown Rice 2kg,Size: 2KG,$6.90
2,2020-05-13 21:27:16,HOUSE BRAND,Basmati Rice 5kg,Size: 5KG,$19.05
3,2020-05-13 21:27:16,SAN REMO,Cous Cous 500g,Size: 500G,$3.80
4,2020-05-13 21:27:16,ROYAL UMBRELLA,Thai Hom Mali Fragrant Rice 10kg,Size: 10KG,$31.80
5,2020-05-13 21:27:16,GIANT,Jasmine Fragrant Rice 5kg,Size: 5KG,$7.30
6,2020-05-13 21:27:16,ROYAL UMBRELLA,Thai Hom Mali Fragrant Rice 5kg,Size: 5KG,$16.20
7,2020-05-13 21:27:16,SONGHE,Thai Fragrant Rice 10kg,Size: 10KG,$32.80
8,2020-05-13 21:27:16,GIANT,Long Grain White Rice 5kg,Size: 5KG,$5.90
9,2020-05-13 21:27:16,HOUSE BRAND,White Ponni Rice 5kg,Size: 5KG,$7.50
10,2020-05-13 21:27:16,SONGHE,Thai Fragrant Rice 5kg,Size: 5KG,$16.90
11,2020-05-13 21:27:16,GOLDEN PINEAPPLE,Thai Fragrant Rice 10kg,Size: 10KG,$25.90
12,2020-05-13 21:27:16,NEW MOON,Jasmine Fragrant Rice 5kg,Size: 5KG,$8.95
13,2020-05-13 21:27:16,GOLDEN PHOENIX,Hom Mali Rice 10kg,Size: 10KG,$27.00
14,2020-05-13 21:27:16,NATUREL,Organic Brown Rice 750g,Size: 0.75KG,$5.40
15,2020-05-13 21:27:16,PADDYKING,Premium Calrose Rice 5kg,Size: 5KG,$13.95
16,2020-05-13 21:27:16,JIN HUANG, Thai Fragrant Rice 5kg ,Size: 5KG,$12.85
17,2020-05-13 21:27:16,PADDYGREEN,Jasmine Fragrant Rice 5kg,Size: 5KG,$8.80
18,2020-05-13 21:27:16,ROYAL UMBRELLA,New Crop Thai Hom Mali Fragrant Rice 5kg,Size: 5KG,$17.80
19,2020-05-13 21:27:16,NEW MOON,Prem Fragrant Rice 2.5kg,Size: 2.5KG,$8.20
20,2020-05-13 21:27:16,NEW MOON,Premium Fragrant Rice - New Crop 5kg,Size: 5KG,$15.95
21,2020-05-13 21:27:16,GOLDEN EAGLE,Thai Fragrant Rice 1kg,Size: 1KG,$3.75
22,2020-05-13 21:27:16,GOLDEN PEONY,Thai Hom Mali Rice 5kg,Size: 5KG,$12.80
23,2020-05-13 21:27:16,GOLDEN PHOENIX,Thai Fragrant Rice 5kg,Size: 5KG,$13.80
24,2020-05-13 21:27:16,NEW MOON,Premium Fragrant Rice 5kg,Size: 5KG,$16.50
25,2020-05-13 21:27:16,PADDYKING,Thai Hom Mali Brown Jasmine Rice 2.5kg,Size: 2.5KG,$10.50
26,2020-05-13 21:27:16,PADDYKING,Premium Red Cargo Rice 1kg,Size: 1KG,$5.00
27,2020-05-13 21:27:16,DOUBLE F. K,Fragrant Rice 5kg,Size: 5KG,$13.95
28,2020-05-13 21:27:16,DOUBLE F. K,Thai Fragrant Rice 10kg,Size: 10KG,$26.65
29,2020-05-13 21:27:16,NEW MOON,Premium Fragrant Rice 1kg,Size: 1KG,$3.70
30,2020-05-13 21:27:16,GOLDEN PINEAPPLE,New Crop Rice 5kg,Size: 5KG,$14.25
31,2020-05-13 21:27:16,NATUREL,Organic Brown & Red Rice 2kg,Size: 2KG,$10.80
32,2020-05-13 21:27:16,PADDYKING,Brown Fragrant Jasmine Rice 1kg,Size: 1KG,$4.50
33,2020-05-13 21:27:16,GOLDEN PINEAPPLE,Premium Basmati Rice 2.5Kg,Size: 2.5KG,$9.45
34,2020-05-13 21:27:16,GOLDEN EAGLE,Thai Fragrant White Rice 25kg,Size: 25KG,$64.00
35,2020-05-13 21:27:16,JIN HUANG,Fragrant Rice 10kg,Size: 10KG,$25.10
36,2020-05-13 21:27:16,NEW MOON,Thai Jasmine Rice 10kg,Size: 10KG,$26.50
37,2020-05-13 21:27:16,PADDYKING,Premium Mixed Jasmine Rice 2.5kg,Size: 2.5KG,$9.20
38,2020-05-13 21:27:16,HARMUNI,Thai Fragrant Rice 5kg,Size: 5KG,$12.20
39,2020-05-13 21:27:16,SONGHE,Thai Fragrant Rice 1kg,Size: 1KG,$4.30
40,2020-05-13 21:27:16,GOLDEN PEONY,Thai Premium Brown Rice 1kg,Size: 1KG,$4.10
41,2020-05-13 21:27:16,GOLDEN PINEAPPLE,Thai Fragrant Rice 5kg,Size: 5KG,$13.20
42,2020-05-13 21:27:16,ROYAL UMBRELLA,Thai Hom Mali Rice 2.5kg,Size: 2.5KG,$9.40
43,2020-05-13 21:27:16,NATUREL,Organic Brown Rice 2kg,Size: 2KG,$11.05
44,2020-05-13 21:27:16,NEW MOON,Organic Super Rice 1.8kg,Size: 1.8KG,$11.50
45,2020-05-13 21:27:16,FLYING MAN,Thai Fragrant Brown Rice 2.5kg,Size: 2.5KG,$11.75
46,2020-05-13 21:27:16,GIANT,Mixed Brown Rice 2.5kg,Size: 2.5KG,$7.45
47,2020-05-13 21:27:16,GOLDEN ROYAL JEWEL,Hommaili Rice 10kg,Size: 10KG,$24.95
48,2020-05-13 21:27:16,GOLDEN ROYAL JEWEL,Hommaili Rice 5kg,Size: 5KG,$13.20
49,2020-05-13 21:27:16,CAP LAYANG LAYANG,Thai Fragrant Rice 7kg,Size: 7KG,$17.20
50,2020-05-13 21:27:16,ECOBROWN'S,Gold Mixed Wholegrain Rice 2kg,Size: 2KG,$8.30
51,2020-05-13 21:27:16,ECOBROWN'S,Gold Mixed Wholegrain Rice 5kg,Size: 5KG,$17.55
52,2020-05-13 21:27:16,ECOBROWN'S,Original Unpolished Brown Rice 5kg,Size: 5KG,$14.50
53,2020-05-13 21:27:16,GOLDEN KNIFE,Jasmine Fragrant Rice 5kg,Size: 5KG,$8.50
54,2020-05-13 21:27:16,GOLDEN PINEAPPLE,Glutinous Rice 2.5kg,Size: 2.5KG,$7.40
55,2020-05-13 21:27:16,GOLDEN PINEAPPLE,Thai Fragrant Rice 2.5kg,Size: 2.5KG,$7.80
56,2020-05-13 21:27:16,GOLDEN RICE BOX,Cambodia Jasmine Rice 5kg,Size: 5KG,$11.80
57,2020-05-13 21:27:16,GOLDEN WHEEL,Thai Fragrant Rice 5kg,Size: 5KG,$9.95
58,2020-05-13 21:27:16,HOUSE BRAND,Basmati Rice 1kg,Size: 1KG,$4.55
59,2020-05-13 21:27:16,INDIA GATE,Basmati Rice 1kg,Size: 1KG,$5.75
60,2020-05-13 21:27:16,KANGAROO,Australian Calrose White Rice 5kg,Size: 5KG,$13.95
61,2020-05-13 21:27:16,KANGAROO,Low GI Rice 2kg,Size: 2KG,$12.90
62,2020-05-13 21:27:16,KOALA,Japonica Calrose Rice 5kg,Size: 5KG,$11.75
63,2020-05-13 21:27:16,MALABAR,Basmati Rice 1kg,Size: 1KG,$3.30
64,2020-05-13 21:27:16,NATUREL,Organic Brown Gaba & Riceberry Rice 1.80kg,Size: 1.8KG,$10.80
65,2020-05-13 21:27:16,NEW MOON,Premium Red Cargo Rice 2kg,Size: 2KG,$10.50
66,2020-05-13 21:27:16,OKOME,Shortgrain Rice 4.5kg,Size: 4.5KG,$13.05
67,2020-05-13 21:27:16,PADDYGREEN,Jasmine Rice 10kg,Size: 10KG,$16.50
68,2020-05-13 21:27:16,PADDYKING,Thai Riceberry 1kg,Size: 1KG,$5.95
69,2020-05-13 21:27:16,SHOKAKU,Japanese Rice 2.5kg,Size: 2.5KG,$12.10
70,2020-05-13 21:27:16,SONGHE,Glutinous Rice 5kg,Size: 5KG,$13.30
71,2020-05-13 21:27:16,SONGHE,Mixed Fragrant Rice & Noble Red Rice 2kg,Size: 2KG,$8.50
72,2020-05-13 21:27:16,SONGHE,Noble Mixed Brown Rice 1kg,Size: 1KG,$5.35
73,2020-05-13 21:27:16,SONGHE,Noble Mixed Brown Rice 5kg,Size: 5KG,$20.95
74,2020-05-13 21:27:16,SONGHE,Noble Red Rice 2.5kg,Size: 2.5KG,$11.90
75,2020-05-13 21:27:16,SONGHE,Noble Red Rice 5kg,Size: 5KG,$21.95
76,2020-05-13 21:27:16,SONGHE,Thai Fragrant Rice 2.5kg,Size: 2.5KG,$9.20
77,2020-05-13 21:27:16,SUPREME GOLD,1121 Basmati Rice 5kg,Size: 5KG,$17.90
78,2020-05-13 21:27:16,TAJ,Basmati Rice 5kg,Size: 5KG,$17.50
